Epic,Feature,User Story,Acceptance Criteria,Priority,Notes
EPIC 1 – Digital Worker Identity & Job Architecture,Job Families Framework,"As Digital HR, I assign each Digital Worker to a predefined job family so its organizational role, risk profile, governance expectations, and performance targets are clearly defined.",Job family is required at onboarding; job family includes autonomy band and risk tier; job family is displayed in the identity card; job family is referenced by governance and performance workflows.,Must,
EPIC 1 – Digital Worker Identity & Job Architecture,Digital Worker Identity Card,"As a Manager or Auditor, I view a Digital Worker’s identity card so I can quickly understand its role, job family, business unit alignment, capabilities, boundaries, autonomy level, risk tier, and organizational ownership.","Identity card presents a single view; identity card includes job family, BU, region, process alignment, capabilities, boundaries, autonomy level, risk tier, and owners; identity card loads in less than 1.5 seconds; data shown matches catalog metadata.",Must,"Leverage Microsoft Agent365's agent registry for core agent inventory and technical attributes; extend this story to add business metadata (job family, BU, owners) and a consolidated view using that platform data rather than duplicating identity management."
EPIC 1 – Digital Worker Identity & Job Architecture,Capability Classification and Business Function Mapping,"As Digital HR, I classify each Digital Worker’s predefined capabilities and map them to business functions and authorized tasks so the organization understands exactly what the worker is designed and permitted to do.",Capability list is captured at onboarding; each capability is mapped to one or more business capabilities and processes; prohibited tasks and constraints are documented; capability mapping is required for risk tiering and governance checks.,Must,
EPIC 1 – Digital Worker Identity & Job Architecture,Purpose Statement and Boundaries,"As a Product Owner, I define the Digital Worker’s mission, intended outcomes, scope boundaries, and escalation rules so its responsibilities and limits are unambiguous.","Purpose statement is required at onboarding; purpose includes mission, in scope tasks, out of scope tasks, and escalation paths; any change to the purpose requires governance approval; purpose is visible on the identity card.",Must,Use Microsoft Foundry's control plane guardrails to enforce in-scope and out-of-scope behaviors at runtime; this story should focus on capturing and governing the purpose/scope definition and connecting it to Foundry guardrail configuration.
EPIC 1 – Digital Worker Identity & Job Architecture,Responsibility Model (RACI),"As Risk, I assign a RACI model to each Digital Worker so accountability and handoff expectations are clearly defined for all involved business units and stakeholders.","RACI assignment is required for High and Critical risk tiers; RACI supports Responsible, Accountable, Consulted, and Informed roles; RACI is referenced during autonomy promotion and governance reviews.",Must,
EPIC 1 – Digital Worker Identity & Job Architecture,Identity Linking Graph,"As Architecture, I map each Digital Worker’s relationships so teams can understand dependencies, peer interactions, and delegation paths across the digital workforce.","Graph view shows parent, child, peer, and dependency links for each Digital Worker; graph updates automatically when scopes or process assignments change; graph is accessible from the identity card.",Should,"Agent365 can visualize relationships and interactions among agents, users, and resources; refine this story to consume those observability signals and supplement them with any static parent–child or delegation metadata needed for a richer relationship graph."
EPIC 1 – Digital Worker Identity & Job Architecture,Tenure and Version History,"As Audit, I view a Digital Worker’s tenure and historical versions so I can evaluate its maturity, behavior history, and governance compliance over time.","Timeline shows creation date, promotions, major capability changes, and retirement; each version is linked to governance events and performance summaries; history is available to auditors and risk owners.",Should,"Foundry and Agent365 provide logs and deployment history for agent updates; adjust this story to aggregate those records into a human-readable timeline of versions, major changes, and key governance events per digital worker."
EPIC 1 – Digital Worker Identity & Job Architecture,Business Unit and Department Assignment,"As Digital HR, I assign each Digital Worker to a Business Unit and Department so ownership, accountability, and value attribution are clear.",BU and Department are required on onboarding; BU to Department to Team hierarchy is supported; missing BU raises an alert for correction; BU assignment is visible on the identity card and in reporting.,Must,
EPIC 1 – Digital Worker Identity & Job Architecture,Business Process Association,"As Strategy, I associate each Digital Worker with one or more business processes so TTO tracking, value attribution, and governance controls align to process outcomes.",At least one business process is required on onboarding; business process links drive TTO and SLO reporting; process associations are visible in planning and performance views.,Must,
EPIC 1 – Digital Worker Identity & Job Architecture,Org Chart Placement,"As Digital HR, I place each Digital Worker in the organizational hierarchy so reporting structures and governance oversight roles are clear and traceable.","Identity includes primary manager or Product Owner; dotted line oversight roles such as Risk, Compliance, and SRE can be specified; org chart view updates nightly from catalog data.",Should,
